day,,night,,sterowanie,
X,Y,X,Y,X,Y
1.0062695924763982,0.024910977873816798,1.0062695924763982,0.9957847642815836,1.0564263322883103,0.7434184496454332
2.0094043887146436,0.006710898743038207,2.0846394984325114,0.9000060869829867,2.034482758620599,0.9776151200657393
3.012539184952888,0.003073926408375449,3.012539184952888,0.7894816933986668,3.012539184952888,0.9108409166996376
4.040752351097089,-0.0005326110113523796,4.065830721003045,0.5334784064278537,4.065830721003045,0.7859055908938732
5.018808777429378,0.0006543506710898761,4.993730407523421,0.35013847886295135,5.018808777429378,0.5152174574672062
5.996865203761666,0.0018413123535316878,5.9717868338557105,0.07948078035121897,5.996865203761666,0.16688985604285222
6.99999999999991,-0.006650028913169237,7.025078369905867,-0.001765225066196141,6.99999999999991,0.12441793225187947
7.952978056426244,0.0673220318349208,8.003134796238157,0.08194600846090605,8.003134796238157,0.1887421249657606
8.905956112852575,0.48109991782572936,8.905956112852575,0.4422649663694187,8.93103448275853,0.20443132361445016
9.959247648902732,0.22995099978695532,9.959247648902732,0.22024226192287766,10.009404388714646,0.20088565602459107
10.937304075235023,0.2214292236053197,10.912225705329067,0.10974830325349183,10.962382445140978,0.11951791094743847
11.865203761755396,0.14488541254527165,11.91536050156731,0.11582006878290763,11.91536050156731,0.14009191344310157
12.918495297805556,0.22868795081717708,12.918495297805556,0.024804455671545877,12.918495297805556,0.17528989256474992
13.896551724137844,0.1861855921112694,13.871473354231885,0.021106613507015037,13.921630094043799,0.19107039595824293
14.924764890282045,0.24083148187600778,14.924764890282045,0.1825790546915418,14.924764890282045,0.1388897343031923
15.902821316614336,0.35366892899534297,15.877742946708377,0.21771616398332094,15.877742946708377,0.07693946495419501
16.880877742946623,0.6655355023282705,16.855799373040668,0.07327205770459821,16.880877742946623,0.029613172231182983
17.833855799372955,1.292905621328788,17.85893416927891,0.22497489119517855,17.884012539184866,0.030830568828559723
18.836990595611198,1.1145113674407277,18.862068965517157,0.3038621907051764,18.887147335423112,0.036902334357975075
19.840125391849444,0.586602550445871,19.81504702194349,0.06230027087074275,19.81504702194349,0.03802842621054836
20.843260188087687,0.3305383936451889,20.843260188087687,0.015004413062664756,20.793103448275776,0.04892412575706784
21.846394984325933,0.33661015917460446,21.771159874608063,0.030693611711354762,21.796238244514022,0.14722890099522123
22.799373040752265,0.28436862768968507,22.749216300940354,1.7066378549471946,22.77429467084631,0.4639498432601874
23.80250783699051,0.14966369418997427,23.80250783699051,1.217624859238518,23.80250783699051,0.6108287427336636
